40.6416,-73.7887,	53
40.6417,-73.7888,	83
40.6417,-73.7889,	80
40.6435,-73.7898,	62
40.6436,-73.7899,	63
40.6447,-73.7819,	51
40.6447,-73.7820,	87
40.6447,-73.7821,	135
40.6447,-73.7822,	125
40.6447,-73.7823,	68
40.6447,-73.7824,	53
40.6448,-73.7818,	163
40.6448,-73.7819,	195
40.6448,-73.7820,	175
40.6448,-73.7821,	142
40.6448,-73.7822,	70
40.6448,-73.7823,	84
40.6448,-73.7824,	86
40.6448,-73.7825,	167
40.6448,-73.7826,	104
40.6449,-73.7819,	96
40.6449,-73.7820,	141
40.6449,-73.7821,	421
40.6449,-73.7822,	484
40.6449,-73.7823,	388
40.6449,-73.7824,	195
40.6450,-73.7818,	169
40.6450,-73.7819,	375
40.6450,-73.7820,	345
40.6450,-73.7821,	69
40.6456,-73.7767,	61
40.6456,-73.7768,	91
40.6457,-73.7767,	103
40.6457,-73.7768,	184
40.6458,-73.7767,	132
40.6458,-73.7768,	237
40.6459,-73.7767,	107
40.6459,-73.7768,	218
40.6460,-73.7767,	64
40.6460,-73.7768,	189
40.6461,-73.7768,	99
40.6461,-73.7769,	95
40.6462,-73.7769,	100
40.6463,-73.7770,	76
40.6465,-73.7898,	119
40.6465,-73.7899,	92
40.6465,-73.7900,	52
40.6466,-73.7896,	91
40.6466,-73.7897,	126
40.6466,-73.7898,	74
40.6467,-73.7894,	54
40.6467,-73.7895,	74
40.6483,-73.7825,	73
40.6483,-73.7826,	141
40.6483,-73.7827,	176
40.6484,-73.7829,	52
40.6484,-73.7830,	84
40.6484,-73.7831,	84
40.6484,-73.7832,	65
40.6484,-73.7833,	61
40.6485,-73.7826,	61
40.6485,-73.7827,	77
40.6878,-74.1816,	82
40.6878,-74.1817,	88
40.6878,-74.1818,	64
40.6878,-74.1819,	66
40.6878,-74.1820,	82
40.6878,-74.1821,	51
40.6880,-74.1829,	62
40.6916,-74.1771,	53
40.6947,-74.1778,	78
40.6948,-74.1778,	76
40.6948,-74.1779,	110
40.6948,-74.1780,	71
40.6949,-74.1779,	57
40.6949,-74.1780,	82
40.6949,-74.1781,	100
40.6950,-74.1780,	56
40.6950,-74.1781,	51
40.6950,-74.1782,	106
40.6950,-74.1783,	94
40.6951,-74.1784,	82
40.7028,-73.9907,	57
40.7052,-74.0074,	57
40.7053,-74.0172,	54
40.7141,-74.0146,	53
40.7141,-74.0147,	62
40.7142,-74.0148,	53
40.7198,-74.0004,	53
40.7199,-74.0003,	134
40.7200,-73.9880,	56
40.7200,-74.0002,	72
40.7205,-73.9872,	68
40.7209,-74.0041,	51
40.7209,-74.0042,	69
40.7218,-73.9580,	107
40.7218,-73.9875,	52
40.7218,-74.0042,	61
40.7219,-74.0041,	84
40.7219,-74.0042,	101
40.7220,-74.0041,	87
40.7227,-73.9980,	51
40.7231,-73.9976,	92
40.7232,-73.9913,	79
40.7233,-73.9912,	65
40.7233,-73.9913,	62
40.7235,-74.0107,	52
40.7236,-74.0108,	109
40.7236,-74.0109,	70
40.7237,-74.0036,	55
40.7246,-73.9916,	65
40.7246,-73.9986,	81
40.7247,-73.9985,	52
40.7248,-73.9984,	61
40.7256,-74.0053,	52
40.7256,-74.0054,	99
40.7256,-74.0055,	148
40.7256,-74.0056,	90
40.7257,-74.0057,	61
40.7260,-73.9918,	86
40.7261,-73.9918,	153
40.7262,-73.9918,	76
40.7265,-74.0023,	51
40.7278,-73.9911,	55
40.7279,-73.9911,	66
40.7280,-73.9910,	67
40.7300,-74.0005,	55
40.7322,-74.0077,	104
40.7323,-74.0077,	75
40.7347,-74.0093,	62
40.7347,-74.0094,	54
40.7355,-74.0033,	71
40.7367,-73.9889,	82
40.7368,-73.9888,	64
40.7376,-74.0082,	59
40.7384,-73.9855,	82
40.7385,-73.9855,	105
40.7386,-73.9854,	86
40.7388,-74.0081,	55
40.7388,-74.0087,	64
40.7388,-74.0088,	106
40.7388,-74.0091,	53
40.7398,-74.0062,	55
40.7399,-74.0061,	77
40.7400,-74.0053,	64
40.7400,-74.0060,	62
40.7400,-74.0061,	61
40.7401,-74.0058,	62
40.7401,-74.0060,	105
40.7402,-73.9948,	52
40.7402,-74.0058,	82
40.7402,-74.0059,	98
40.7403,-73.9947,	58
40.7403,-74.0059,	105
40.7403,-74.0080,	59
40.7404,-74.0058,	108
40.7404,-74.0079,	107
40.7405,-74.0057,	217
40.7405,-74.0078,	67
40.7406,-74.0056,	109
40.7406,-74.0057,	150
40.7406,-74.0077,	77
40.7407,-74.0056,	93
40.7407,-74.0076,	70
40.7407,-74.0077,	86
40.7408,-74.0076,	132
40.7409,-74.0075,	150
40.7409,-74.0076,	82
40.7410,-74.0077,	62
40.7411,-74.0056,	60
40.7419,-74.0036,	77
40.7420,-74.0037,	152
40.7420,-74.0038,	170
40.7420,-74.0039,	70
40.7420,-74.0046,	56
40.7421,-74.0039,	87
40.7421,-74.0040,	94
40.7421,-74.0041,	68
40.7421,-74.0046,	52
40.7422,-74.0042,	65
40.7423,-74.0044,	73
40.7424,-74.0043,	65
40.7430,-74.0076,	74
40.7438,-74.0062,	65
40.7438,-74.0063,	84
40.7439,-74.0064,	83
40.7440,-73.9837,	61
40.7441,-73.9877,	54
40.7441,-74.0068,	51
40.7442,-74.0067,	71
40.7443,-74.0066,	68
40.7448,-73.9914,	54
40.7449,-73.9888,	61
40.7450,-73.9888,	63
40.7451,-73.9888,	56
40.7459,-73.9882,	72
40.7472,-73.9897,	53
40.7483,-74.0056,	51
40.7491,-73.9920,	60
40.7501,-74.0025,	55
40.7502,-73.9946,	82
40.7502,-73.9947,	57
40.7502,-74.0024,	57
40.7503,-73.9948,	85
40.7504,-73.9947,	102
40.7505,-73.9946,	58
40.7505,-73.9947,	83
40.7506,-73.9946,	65
40.7512,-74.0066,	88
40.7512,-74.0067,	65
40.7513,-73.9940,	58
40.7513,-73.9941,	103
40.7513,-74.0068,	69
40.7514,-73.9940,	190
40.7515,-73.9939,	92
40.7515,-73.9940,	82
40.7516,-73.9938,	69
40.7517,-73.9938,	91
40.7518,-73.9937,	54
40.7530,-74.0040,	59
40.7548,-73.9799,	60
40.7548,-73.9841,	54
40.7550,-73.9840,	59
40.7551,-73.9797,	51
40.7551,-73.9839,	58
40.7554,-73.9837,	54
40.7555,-73.9836,	53
40.7559,-73.9728,	59
40.7560,-73.9727,	57
40.7561,-73.9832,	75
40.7562,-73.9726,	52
40.7579,-73.9893,	62
40.7587,-73.9893,	61
40.7590,-73.9725,	53
40.7591,-73.9727,	52
40.7604,-73.9758,	57
40.7605,-73.9800,	60
40.7617,-73.9749,	68
40.7630,-73.9719,	64
40.7632,-73.9738,	55
40.7633,-73.9737,	66
40.7635,-73.9736,	52
40.7638,-73.9734,	52
40.7639,-73.9733,	60
40.7639,-73.9977,	59
40.7640,-73.9732,	64
40.7641,-73.9787,	63
40.7644,-73.9958,	89
40.7646,-73.9707,	58
40.7647,-73.9706,	54
40.7648,-73.9705,	55
40.7665,-73.9782,	65
40.7678,-73.9915,	76
40.7679,-73.9916,	100
40.7682,-73.8621,	123
40.7683,-73.8622,	161
40.7683,-73.8623,	103
40.7684,-73.8623,	192
40.7684,-73.8624,	206
40.7684,-73.8625,	70
40.7684,-73.9848,	55
40.7685,-73.8624,	176
40.7685,-73.8625,	402
40.7685,-73.8626,	160
40.7686,-73.8625,	67
40.7686,-73.8626,	259
40.7686,-73.8627,	177
40.7690,-73.9812,	83
40.7691,-73.9812,	64
40.7699,-73.8644,	95
40.7700,-73.8645,	74
40.7700,-73.8646,	84
40.7701,-73.8647,	75
40.7705,-73.8653,	53
40.7706,-73.8654,	51
40.7707,-73.8655,	51
40.7707,-73.8656,	136
40.7708,-73.8657,	141
40.7708,-73.8658,	106
40.7709,-73.8658,	135
40.7709,-73.8659,	229
40.7710,-73.8659,	97
40.7710,-73.8660,	235
40.7710,-73.8661,	108
40.7711,-73.8661,	99
40.7711,-73.8662,	91
40.7731,-73.8855,	108
40.7731,-73.8856,	136
40.7731,-73.8857,	79
40.7732,-73.8855,	163
40.7732,-73.8856,	146
40.7732,-73.8857,	82
40.7732,-73.8858,	51
40.7738,-73.8717,	55
40.7739,-73.8714,	67
40.7739,-73.8715,	124
40.7739,-73.8716,	142
40.7739,-73.8717,	84
40.7739,-73.8723,	98
40.7739,-73.8724,	116
40.7739,-73.8725,	145
40.7739,-73.8726,	150
40.7739,-73.8727,	60
40.7740,-73.8716,	110
40.7740,-73.8717,	139
40.7740,-73.8718,	129
40.7740,-73.8719,	110
40.7740,-73.8720,	88
40.7740,-73.8721,	70
40.7740,-73.8722,	98
40.7740,-73.8723,	128
40.7740,-73.8724,	171
40.7740,-73.8725,	198
40.7740,-73.8726,	308
40.7740,-73.8727,	192
40.7740,-73.8728,	61
40.7740,-73.8729,	52
40.7741,-73.8721,	76
40.7741,-73.8722,	90
40.7741,-73.8723,	121
40.7741,-73.8724,	206
40.7741,-73.8725,	326
40.7741,-73.8726,	297
40.7741,-73.8727,	201
40.7741,-73.8728,	64
40.7741,-73.8729,	63
40.7742,-73.9632,	51
40.7745,-73.9639,	56
40.7748,-73.9910,	82
40.7748,-73.9911,	75
40.7752,-73.9635,	83
